file_id,network,sensor,channel,type,starttime,endtime,window,overlap,windowing,n_windows,n_variables,missing_rate,low_filter,high_filter,nsamples,srate,trend_removed,coherent_noise_removed,save_time
172,C7,PPMA,HHN,FFT,2021-09-24 00:00:00.00,2021-09-25 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:56:40.00
173,C7,PPMA,HHE,FFT,2021-09-24 00:00:00.00,2021-09-25 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:56:49.00
174,C7,PPMA,HHZ,FFT,2021-09-24 00:00:00.00,2021-09-25 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:56:56.00
175,C7,PLPI,HHN,FFT,2021-09-25 00:00:00.00,2021-09-26 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:57:04.00
176,C7,PLPI,HHE,FFT,2021-09-25 00:00:00.00,2021-09-26 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:57:12.00
177,C7,PLPI,HHZ,FFT,2021-09-25 00:00:00.00,2021-09-26 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:57:20.00
178,C7,PPMA,HHN,FFT,2021-09-25 00:00:00.00,2021-09-26 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:57:28.00
179,C7,PPMA,HHE,FFT,2021-09-25 00:00:00.00,2021-09-26 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:57:36.00
180,C7,PPMA,HHZ,FFT,2021-09-25 00:00:00.00,2021-09-26 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:57:44.00
181,C7,PLPI,HHN,FFT,2021-09-26 00:00:00.00,2021-09-27 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:57:52.00
182,C7,PLPI,HHE,FFT,2021-09-26 00:00:00.00,2021-09-27 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:58:00.00
183,C7,PLPI,HHZ,FFT,2021-09-26 00:00:00.00,2021-09-27 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:58:08.00
184,C7,PPMA,HHN,FFT,2021-09-26 00:00:00.00,2021-09-27 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:58:16.00
185,C7,PPMA,HHE,FFT,2021-09-26 00:00:00.00,2021-09-27 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:58:24.00
186,C7,PPMA,HHZ,FFT,2021-09-26 00:00:00.00,2021-09-27 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:58:32.00
187,C7,PLPI,HHN,FFT,2021-09-12 00:00:00.00,2021-09-26 00:00:00.00,3600.0,1800.0,False,671,5400,0.0,0,50.0,120960001,100.0,False,False,2024-11-12 11:08:36.00
188,C7,PLPI,HHE,FFT,2021-09-12 00:00:00.00,2021-09-26 00:00:00.00,3600.0,1800.0,False,671,5400,0.0,0,50.0,120960001,100.0,False,False,2024-11-12 11:10:45.00
189,C7,PLPI,HHZ,FFT,2021-09-12 00:00:00.00,2021-09-26 00:00:00.00,3600.0,1800.0,False,671,5400,0.0,0,50.0,120960001,100.0,False,False,2024-11-12 11:12:54.00
190,C7,PPMA,HHN,FFT,2021-09-12 00:00:00.00,2021-09-26 00:00:00.00,3600.0,1800.0,False,671,5400,0.0,0,50.0,120960001,100.0,False,False,2024-11-12 11:15:06.00
191,C7,PPMA,HHE,FFT,2021-09-12 00:00:00.00,2021-09-26 00:00:00.00,3600.0,1800.0,False,671,5400,0.0,0,50.0,120960001,100.0,False,False,2024-11-12 11:17:16.00
192,C7,PPMA,HHZ,FFT,2021-09-12 00:00:00.00,2021-09-26 00:00:00.00,3600.0,1800.0,False,671,5400,0.0,0,50.0,120960001,100.0,False,False,2024-11-12 11:19:25.00
